0.01,8,1991,,
0.99.2,12,1992,Configure,
1.0,3,1994,,
1.1.67,11,1994,Multiple architectures,
1.2.0,3,1995,,
2.0,6,1996,,
2.2.0,1,1999,,
2.4.0,1,2001,,
2.5.5,2,2002,x86_64 added,
2.5.45,10,2002,Kconfig,
2.6.0,12,2003,,
2.6.1,1,2004,,
2.6.11,3,2005,,
2.6.15,1,2006,,
2.6.19,11,2006,,
2.6.24,1,2008,,i386\, x86_64 merged
2.6.29,3,2009,,
2.6.30,6,2009,Tracing,
2.6.31,9,2009,,Code bloat
2.6.32,12,2009,More tracing,
2.6.33,2,2010,,
2.6.37,1,2011,,
3.2,1,2012,,
3.4,5,2012,,
3.6,9,2012,,
3.8,2,2013,,
3.10,6,2013,,
3.12,11,2013,,
3.13,1,2014,,
3.14,3,2014,,
3.15,6,2014,,
3.16,8,2014,,
