file,arch,label,build target (valid if label is build_dir)
arch/arm/kernel/asm-offsets.c,arm,cant_build,
arch/arm/mach-imx/pm-imx27.c,arm,builds,
arch/arm/mach-iop32x/n2100.c,arm,builds,
arch/arm/mach-omap1/pm.c,arm,builds_dir,arch/arm/mach-omap1/
arch/arm/mach-omap2/board-n8x0.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-omap2/io.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-omap2/omap_hwmod_44xx_data.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-omap2/omap_hwmod_7xx_data.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-omap2/omap_hwmod.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-omap2/omap_twl.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-omap2/pdata-quirks.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-omap2/pm-debug.c,arm,builds_dir,arch/arm/mach-omap2/
arch/arm/mach-pxa/pxa_cplds_irqs.c,arm,builds_dir,arch/arm/mach-pxa/
arch/arm/mach-pxa/stargate2.c,arm,builds_dir,arch/arm/mach-pxa/
arch/arm/mach-s3c/mach-mini2440.c,arm,builds_dir,arch/arm/mach-s3c/
arch/arm/mach-s3c/mach-rx1950.c,arm,builds_dir,arch/arm/mach-s3c/
arch/arm/mm/copypage-v4mc.c,arm,builds,
arch/arm/mm/ptdump_debugfs.c,arm,builds,
arch/arm/plat-omap/dma.c,arm,builds_dir,arch/arm/plat-omap/
arch/arm/probes/kprobes/test-arm.c,arm,builds,
arch/arm64/crypto/poly1305-glue.c,arm,cant_build,
arch/arm64/kernel/acpi_parking_protocol.c,arm,cant_build,
arch/arm64/kernel/alternative.c,arm,cant_build,
arch/arm64/kernel/asm-offsets.c,arm,cant_build,
arch/arm64/kernel/cpufeature.c,arm,cant_build,
arch/arm64/kernel/cpuidle.c,arm,cant_build,
arch/arm64/kernel/entry-common.c,arm,cant_build,
arch/arm64/kernel/fpsimd.c,arm,cant_build,
arch/arm64/kernel/ftrace.c,arm,cant_build,
arch/arm64/kernel/idreg-override.c,arm,cant_build,
arch/arm64/kernel/irq.c,arm,cant_build,
arch/arm64/kernel/kaslr.c,arm,cant_build,
arch/arm64/kernel/machine_kexec_file.c,arm,cant_build,
arch/arm64/kernel/module.c,arm,cant_build,
arch/arm64/kernel/mte.c,arm,cant_build,
arch/arm64/kernel/paravirt.c,arm,cant_build,
arch/arm64/kernel/perf_event.c,arm,cant_build,
arch/arm64/kernel/pointer_auth.c,arm,cant_build,
arch/arm64/kernel/probes/kprobes.c,arm,cant_build,
arch/arm64/kernel/process.c,arm,cant_build,
arch/arm64/kernel/psci.c,arm,cant_build,
arch/arm64/kernel/ptrace.c,arm,cant_build,
arch/arm64/kernel/smp_spin_table.c,arm,cant_build,
arch/arm64/kernel/smp.c,arm,cant_build,
arch/arm64/kernel/stacktrace.c,arm,cant_build,
arch/arm64/kernel/suspend.c,arm,cant_build,
arch/arm64/kernel/syscall.c,arm,cant_build,
arch/arm64/kernel/topology.c,arm,cant_build,
arch/arm64/kernel/vdso.c,arm,cant_build,
arch/arm64/kvm/arm.c,arm,cant_build,
arch/arm64/kvm/debug.c,arm,cant_build,
arch/arm64/kvm/fpsimd.c,arm,cant_build,
arch/arm64/kvm/guest.c,arm,cant_build,
arch/arm64/kvm/handle_exit.c,arm,cant_build,
arch/arm64/kvm/hyp/exception.c,arm,cant_build,
