commit,run#,patchcoverage
00387bd21dac98f9e793294c895768d9e5441f82,1,0.000000
00387bd21dac98f9e793294c895768d9e5441f82,2,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,3,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,4,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,5,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,6,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,7,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,8,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,9,1.000000
00387bd21dac98f9e793294c895768d9e5441f82,10,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,1,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,2,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,3,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,4,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,5,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,6,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,7,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,8,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,9,1.000000
008ee9eb8a11bcabf12c91771dd4f470b082bd44,10,1.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,1,0.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,2,0.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,3,0.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,4,0.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,5,0.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,6,1.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,7,1.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,8,1.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,9,1.000000
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,10,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,1,0.000000
00bfe02f479688a67a29019d1228f1470e26f014,2,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,3,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,4,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,5,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,6,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,7,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,8,1.000000
